text,choice1,choice2,choice3,answer,level
“The children listened carefully to the teacher.” How did they listen?,Carefully,Quickly,Noisy,1,3
“Emma rode the bus to school.” How did Emma go to school?,Walked,Bus,Car,2,3
“The lightning lit up the sky.” What lit up the sky?,Stars,Lightning,Moon,2,3
“Tommy wore boots because it was muddy.” Why did he wear boots?,It was hot,It was muddy,It was raining,2,3
“The magician pulled a rabbit out of the hat.” What did the magician pull out?,Rabbit,Bird,Hat,1,4
“The boy found a map in the attic.” Where did he find the map?,Basement,Attic,Garage,2,4
“The river overflowed after the heavy rain.” Why did the river overflow?,It was raining,It was sunny,It was windy,1,4
“Lila wrote a letter to her grandmother.” Who received the letter?,Friend,Grandmother,Teacher,2,4
“The wind howled through the trees at night.” What did the wind do?,Blew gently,Howled,Stopped,2,4
“The scientist studied the stars through a telescope.” What did the scientist study?,Stars,Planets,Rocks,1,4
“The children built a sandcastle on the beach.” What did the children build?,House,Sandcastle,Boat,2,4
“Sam opened the window to let in fresh air.” Why did Sam open the window?,To shout,To let in fresh air,To close it,2,4
“The firemen rescued the kitten from the tree.” Who did the firemen rescue?,Dog,Kitten,Bird,2,4
“Mia put a bandage on her cut finger.” Why did she use a bandage?,To protect it,To decorate it,To hide it,1,4
“The clock struck twelve at midnight.” What time was it?,Noon,Midnight,Morning,2,4
“The farmer milked the cows every morning.” What did the farmer do?,Fed chickens,Milked cows,Planted corn,2,4
“The children painted a colorful mural on the wall.” What did they paint?,Mural,Poster,Sign,1,4
“The explorer discovered a hidden cave.” What did the explorer find?,Cave,Treasure,Island,1,4
“The leaves rustled in the autumn breeze.” What made the sound?,Wind,Rain,Birds,1,4
“Liam practiced the piano for an hour.” What did Liam practice?,Violin,Piano,Guitar,2,4
“The dog barked loudly at the stranger.” How did the dog bark?,Quietly,Loudly,Softly,2,4
“A rainbow appeared after the storm.” What appeared?,Rainbow,Cloud,Sun,1,4
“The children waited patiently for their turn.” How did the children wait?,Patiently,Angrily,Quickly,1,4
“The ice on the pond began to melt in spring.” Why did the ice melt?,It was cold,It was warm,It was windy,2,4
“The teacher explained the rules of the game.” What did the teacher explain?,Rules,Stories,Jokes,1,4
“The lighthouse guided ships safely to shore.” What did the lighthouse do?,Lit the way,Blocked ships,Sank ships,1,4
“The children enjoyed a picnic in the park.” Where did they have a picnic?,Beach,Park,School,2,4
“The scientist measured the temperature with a thermometer.” What did the scientist measure?,Rainfall,Temperature,Speed,2,4
“The girl tied her shoelaces before running.” Why did she tie her shoelaces?,To run safely,To sleep,To sit,1,4
“The scientist recorded her observations in a notebook.” What did the scientist record?,Observations,Recipes,Directions,1,5
"“After weeks of practice, Marcus finally mastered the difficult piano piece.” What helped Marcus succeed?",Luck,Practice,Advice,2,5
“The hikers carried extra water because the trail was long.” Why did the hikers bring extra water?,The trail was long,It was raining,They were swimming,1,5
“The teacher praised Ava for her perseverance.” What does perseverance mean?,Giving up easily,Keeping trying,Being noisy,2,5
“The storm knocked down several tree branches.” What happened during the storm?,Trees grew taller,Branches fell,Flowers bloomed,2,5
“The museum displayed artifacts from ancient civilizations.” What was displayed?,Paintings,Artifacts,Animals,2,5
“Jamal compared prices before buying a new bicycle.” Why did Jamal compare prices?,To save money,To waste time,To sell bicycles,1,5
“The author included details about the setting to help readers imagine the scene.” Why were the details included?,To confuse readers,To help readers visualize,To shorten the story,2,5
“The community organized a cleanup day for the local park.” What was the purpose of the event?,To clean the park,To build a road,To plant crops,1,5
“The owl is a nocturnal animal.” When is a nocturnal animal most active?,During the day,At night,At noon,2,5
“The inventor created a prototype before building the final product.” What is a prototype?,A finished product,An early model,A repair tool,2,5
“The team celebrated after winning the championship.” Why did the team celebrate?,They finished practice,They won,They found a field,2,5
“The character felt relieved when the missing dog returned home.” How did the character feel?,Angry,Relieved,Confused,2,5
“The mayor announced plans to improve public transportation.” What did the mayor announce?,A holiday,Transportation improvements,A concert,2,5
“The bee transferred pollen between flowers.” What did the bee transfer?,Seeds,Pollen,Leaves,2,5
“The students researched renewable energy sources.” What topic did they research?,Weather,Renewable energy,Sports,2,5
“The glacier moved slowly across the landscape.” How did the glacier move?,Quickly,Slowly,Randomly,2,5
“The coach encouraged players to work together.” What was the coach promoting?,Competition,Teamwork,Rest,2,5
“The article explained how volcanoes form.” What was the article mainly about?,Earthquakes,Volcano formation,Ocean currents,2,5
“Sophia budgeted her allowance to save for a tablet.” Why did Sophia make a budget?,To buy snacks,To save money,To lend money,2,5
“The judge listened carefully before making a decision.” Why did the judge listen carefully?,To make a fair decision,To tell a joke,To leave early,1,5
"“The ecosystem includes plants, animals, and their environment.” What is an ecosystem?",A single animal,Living things and their environment,A type of weather,2,5
“The inventor received a patent for her design.” What does a patent protect?,A vacation,An invention,A building,2,5
“The narrator describes events from his own point of view.” Which point of view is used?,First person,Second person,Third person,1,5
“The factory reduced waste by recycling materials.” How did the factory reduce waste?,By recycling,By expanding,By hiring workers,1,5
“The protagonist struggled with a difficult decision throughout the novel.” Who is the protagonist?,The main character,The author,The villain,1,6
“The drought had severe consequences for local farmers.” What does severe mean in this sentence?,Minor,Serious,Unexpected,2,6
“The speaker used statistics to support her argument.” Why did the speaker use statistics?,To entertain,To provide evidence,To tell a story,2,6
"“Although the journey was exhausting, the explorers remained determined.” How did the explorers feel?",Determined,Bored,Relaxed,1,6
“The author contrasts the busy city with the quiet countryside.” What is being contrasted?,Two characters,Two settings,Two animals,2,6
“The invention revolutionized communication across long distances.” What does revolutionized mean?,Slightly changed,Greatly changed,Destroyed,2,6
“The article presents both advantages and disadvantages of social media.” What is the author's purpose?,To show different perspectives,To advertise a product,To tell a fictional story,1,6
“The ancient civilization developed an advanced irrigation system.” What did the civilization develop?,A transportation network,An irrigation system,A government,2,6
“The character's actions revealed her generosity.” What trait did the character show?,Courage,Generosity,Patience,2,6
“Researchers analyzed the data before drawing conclusions.” What did the researchers do first?,Published results,Analyzed data,Conducted interviews,2,6
“The memoir recounts the author's childhood experiences.” What is a memoir?,A fictional story,A personal account,A scientific report,2,6
“The evidence suggests that climate patterns are changing.” What does the evidence suggest?,Patterns are stable,Patterns are changing,Patterns are unknown,2,6
“The conflict between the two groups escalated over time.” What happened to the conflict?,It decreased,It intensified,It disappeared,2,6
“The engineer designed a bridge capable of supporting heavy loads.” What was the bridge designed to do?,Float on water,Support heavy loads,Generate electricity,2,6
“The author's tone becomes more optimistic near the end of the passage.” How does the tone change?,More negative,More optimistic,More humorous,2,6
“The committee evaluated several proposals before making a recommendation.” What did the committee evaluate?,Budgets,Proposals,Employees,2,6
“The metaphor compares time to a river that never stops flowing.” What is being compared to a river?,Life,Time,Nature,2,6
“The historian examined primary sources to verify the facts.” Why did the historian examine primary sources?,To verify facts,To write fiction,To create maps,1,6
“The entrepreneur took a financial risk when starting the company.” What risk did the entrepreneur take?,Financial risk,Physical risk,Medical risk,1,6
“The passage implies that cooperation leads to better outcomes.” What idea is implied?,Competition is best,Cooperation helps,Failure is unavoidable,2,6
“The scientist proposed a theory based on years of research.” What was the theory based on?,A guess,Years of research,One experiment,2,6
“The character overcame numerous obstacles to achieve her goal.” What did the character overcome?,Obstacles,Friends,Rewards,1,6
“The editorial argues for stricter environmental protections.” What is the editorial mainly doing?,Entertaining readers,Arguing a position,Describing a vacation,2,6
“The audience applauded enthusiastically after the performance.” How did the audience respond?,They left quietly,They applauded,They complained,2,6
“The economic downturn affected businesses across the region.” What was affected by the downturn?,Businesses,Rivers,Schools,1,6
