text,choice1,choice2,choice3,answer,level
"The vast ocean seemed to go on forever. What does vast mean?","An immense or huge area","A tiny puddle","A narrow river",1,3
"The rowdy crowd made it hard to hear the speaker. What does rowdy mean?","Quiet and polite","Noisy and disorderly","Very sad",2,3
"We watched the caterpillar transform into a butterfly. What does transform mean?","To stay exactly the same","To disappear completely","To change completely in form",3,3
"The tiny seed will sprout after a few days of watering. What does sprout mean?","To begin to grow","To dry up and die","To turn into soil",1,3
"The internal components of the computer were damaged when it dropped. What does internal mean?","On the outside","Located on the inside","Brand new",2,4
"The historical museum contains artifacts from hundreds of years ago. What does historical mean?","Related to the past","Very futuristic","Completely imaginary",1,4
"The dominant wolf led the pack through the snowy valley. What does dominant mean?","Weak and following others","Most powerful or influential","Very small and quiet",2,4
"The structural integrity of the bridge was checked by engineers. What does structural mean?","Related to how something is built","Beautiful to look at","Made of cheap materials",1,4
"The prompt arrival of the train ensured we weren't late. What does prompt mean?","Very slow or delayed","Happening on time or without delay","Completely unexpected",2,4
"The intense heat of the desert made it hard to breathe. What does intense mean?","Very weak or mild","Pleasant and cool","Extremely strong or sharp",3,4
"The initial step in solving the puzzle is finding the corner pieces. What does initial mean?","The final or last","First or at the beginning","The most difficult",2,4
"The sharp thorns on the rose bush are a physical defense. What does physical mean?","Related to the body or material things","Existing only in thoughts","Spoken aloud",1,4
"The math problem was so complex it took an hour to solve. What does complex mean?","Simple and easy","Short and quick","Not simple; complicated",3,4
"The native plants grow naturally in this region without extra care. What does native mean?","Brought from another country","Belonging naturally to a place","Grown only in a greenhouse",2,4
"The precise measurements ensured the shelves fit perfectly. What does precise mean?","Exact and accurate","Guessed or estimated","Incorrectly calculated",1,4
"The driver had to shift gears to go up the steep hill. What does shift mean?","To keep exactly the same","To break into pieces","To change or move",3,4
"The principal was an authority on school safety rules. What does authority mean?","An expert or person with power","Someone who is learning","A complete stranger",1,4
"The chemical reaction caused the liquid to turn bright blue. What does chemical mean?","Related to substances and how they react","A type of natural rock","Pure clean water",1,4
"The layer of ice on the lake was thin and dangerous. What does layer mean?","A deep dark hole","A single thickness or sheet","A fast-moving stream",2,4
"The primary reason she ran was to get some exercise. What does primary mean?","Unimportant or secondary","The most important or main","The very last",2,4
"The critical clue helped the detective solve the mystery. What does critical mean?","Extremely important","Silly and funny","Hard to see",1,4
"The custom of sharing a meal brings the family together. What does custom mean?","A brand new law","A long-established tradition or habit","A mistake made by accident",2,4
"The framework of the new house was made of strong wood. What does framework mean?","The decorative paint","The outer yard","The supporting structure",3,4
"The dynamic dancer moved with incredible energy and change. What does dynamic mean?","Slow and lazy","Full of energy and constant change","Boring and repetitive",2,4
"The secure lock kept the valuable items safe. What does secure mean?","Safe from danger or locked tightly","Broken and loose","Easy to open",1,4
"The novel idea for the school project won first prize. What does novel mean?","Old and boring","New and original","Very difficult",2,4
"The company decided to extract oil from deep beneath the ground. What does extract mean?","To bury deeply","To leave alone","To pull or take out",3,4
"The external walls of the castle were made of thick stone. What does external mean?","On the outside","Hidden deep underground","Located on the inside",1,4
"The estimate for the car repair was higher than expected. What does estimate mean?","A careful guess of cost or size","A final exact bill","A free item",1,4
"The principal decided to abolish the outdated dress code rule. What does abolish mean?","To formally put an end to something","To make a rule stricter","To hide from the public",1,5
"The dynamic climate of the region features unpredictable weather patterns. What does dynamic mean?","Completely unchanging","Constant change or activity","Extremely cold and snowy",2,5
"The complex architecture of the ancient temple baffled the historians. What does architecture mean?","The design and structure of buildings","The natural environment surrounding a place","A collection of old books",1,5
"The internal dialogue of the character revealed her true anxieties. What does internal mean?","Expressed loudly to others","Existing on the outside","Existing or occurring within the mind",3,5
"The physical evidence at the scene confirmed the detective's theory. What does physical mean?","Having material existence or substance","Existing only as an idea","Completely imaginary",1,5
"The precise calculation allowed the spacecraft to land safely. What does precise mean?","A rough estimate","Strictly accurate or exact","Incorrect or flawed",2,5
"The primary objective of the mission was to collect soil samples. What does primary mean?","Of chief importance; principal","The very last step","Unimportant or minor",1,5
"The structural stability of the skyscraper was tested during the earthquake. What does structural mean?","Beautifully decorated on the outside","Related to the arrangement of parts or building","Made of lightweight plastic",2,5
"The sudden power outage caused a brief shift in the factory's production schedule. What does shift mean?","To remain completely still","To break into small pieces","A change in position or direction",3,5
"A layer of dense fog covered the valley early in the morning. What does layer mean?","A deep, narrow canyon","A sheet or quantity of material coat","A fast-moving body of water",2,5
"The initial reaction to the news was absolute disbelief. What does initial mean?","Occurring at the beginning; first","The final conclusion","The most logical response",1,5
"The historic agreement brought peace to the two warring nations. What does historic mean?","Famous or important in history","Happening far in the future","Completely made up",1,5
"The custom of lighting candles symbolized hope for the community. What does custom mean?","A standard legal law","An unexpected accident","A traditional way of behaving",3,5
"The intense pressure caused the deep-sea pipe to crack. What does intense mean?","Very weak or mild","Of extreme force or strength","Pleasant and comfortable",2,5
"The novel approach to recycling plastic won the environmental award. What does novel mean?","New, original, or unusual","Old-fashioned and traditional","Extremely difficult to do",1,5
"The estimate for the building materials was well within our budget. What does estimate mean?","The final exact cost","An approximate calculation or judgment","A free sample",2,5
"The team needed to extract information from the ancient scrolls carefully. What does extract mean?","To remove or pull out with effort","To bury deep underground","To leave completely alone",1,5
"The external appearance of the building was modern, but the inside was historic. What does external mean?","Belonging to the outside","Hidden deep within the center","Located entirely indoors",1,5
"The manager was the primary authority on safety protocols. What does authority mean?","The power or right to give orders","A person who is learning","A complete stranger to the job",1,5
"The chemical composition of the water was tested for impurities. What does chemical mean?","Pure, untreated rain","A type of organic rock","Relating to chemistry or interactions of substances",3,5
"The framework of the argument was built on solid facts. What does framework mean?","A decorative border","A supporting structure or baseline","An emotional outburst",2,5
"The native wildlife thrived in the protected national park. What does native mean?","Brought from a distant continent","Grown only in controlled laboratories","Inherent or belonging naturally to a place",3,5
"The prompt response from the paramedics saved the patient's life. What does prompt mean?","Done without delay; immediate","Very slow or hesitant","Completely unhelpful",1,5
"The dominant species in the ecosystem controlled the food supply. What does dominant mean?","Weak and easily defeated","Most powerful, commanding, or influential","Extremely small and rare",2,5
"The critical juncture of the game determined who would win the championship. What does critical mean?","Having decisive importance; crucial","Silly or unimportant","Extremely funny",1,5
"The researcher had to accumulate data for six months before publishing the study. What does accumulate mean?","To gather or build up a stable amount","To lose or misplace entirely","To distribute to others",1,6
"The loud construction noise outside began to diminish as the workers packed up. What does diminish mean?","To become louder and more intense","To stay exactly the same","To make or become less or smaller",3,6
"The sudden power outage created an ambiguous situation for the security team. What does ambiguous mean?","Completely clear and obvious","Open to more than one interpretation; unclear","Extremely safe and secure",2,6
"The dynamic shifts in the global economy surprised financial experts. What does dynamic mean?","Characterized by constant change or activity","Completely stagnant and still","Predictable and simple",1,6
"The lawyer presented a concise argument that took only five minutes to deliver. What does concise mean?","Giving a lot of information clearly and briefly","Long, rambling, and confusing","Completely silent",1,6
"The structural integrity of the spacecraft was verified before launch. What does structural mean?","Related to the arrangement of parts in a complex entity","Brightly painted on the exterior","Incredibly cheap to manufacture",1,6
"The scientist noted that the precise mutation occurred on the third gene. What does precise mean?","Marked by exactness and accuracy","A random, uneducated guess","Flawed or incorrect",1,6
"The text was full of obscure idioms that were difficult for the students to interpret. What does interpret mean?","To completely ignore","To explain the meaning of information or words","To rewrite in a different language",2,6
"The primary objective of the experiment was to isolate the variable. What does primary mean?","Of chief importance; principal","The final or concluding part","Unimportant or minor",1,6
"The author's unique style was the dominant factor in the book's success. What does dominant mean?","Weak and unnoticeable","Most important, powerful, or influential","Boring and repetitive",2,6
"The initial phase of the construction project involved clearing the land. What does initial mean?","Occurring at the beginning; first","The final step before completion","The most expensive part",1,6
"The dense internal layers of the planet consist of molten iron. What does internal mean?","Located on the exterior surface","Existing or situated on the inside","Completely cold and frozen",2,6
"The custom of exchanging gifts at the summit reinforced the historic treaty. What does custom mean?","An unexpected accident or error","A traditional and widely accepted way of behaving","A newly passed federal law",2,6
"The intense scrutiny from the media pressured the politician to resign. What does intense mean?","Of extreme force, degree, or strength","Very mild and unnoticeable","Pleasant and comforting",1,6
"The engineer proposed a novel solution to the city's traffic problem. What does novel mean?","Old-fashioned and traditional","Extremely complicated to execute","New, original, or unusual",3,6
"The accountant provided an accurate estimate of the project's total cost. What does estimate mean?","An approximate calculation or judgment","A final, binding invoice","A free promotional item",1,6
"The archaeologists had to extract the delicate fossil from the rock matrix. What does extract mean?","To bury deep within the earth","To leave completely undisturbed","To remove or take out, especially by effort",3,6
"The external facade of the museum was covered in reflective glass panels. What does external mean?","Belonging to or forming the outer surface","Deeply embedded within the core","Located entirely underground",1,6
"The governing body has the sole authority to amend the constitution. What does authority mean?","The power or right to give orders and make decisions","A beginner who is learning the ropes","A completely neutral bystander",1,6
"The chemical breakdown of the plastic takes hundreds of years in a landfill. What does chemical mean?","Pure, unadulterated spring water","Relating to chemistry or the interactions of substances","A physical breakdown by hand",2,6
"The structural framework of the bridge was reinforced with carbon fiber. What does framework mean?","An essential supporting structure","A decorative outer border","A temporary wooden block",1,6
"The physical properties of the new alloy make it perfect for aerospace engineering. What does physical mean?","Relating to things perceived through the senses as material","Existing purely as an abstract concept","Spoken aloud during a presentation",1,6
"The native ecosystem was severely disrupted by the introduction of invasive vines. What does native mean?","Brought over from a foreign country","Grown exclusively in a laboratory","Inherent or belonging naturally to a place",3,6
"The prompt intervention of the teacher stopped the argument before it escalated. What does prompt mean?","Done without delay; immediate","Hesitant, slow, and uncertain","Completely ineffective",1,6
"The critical breakdown of the machine halted assembly lines nationwide. What does critical mean?","Having decisive or crucial importance","Amusing or highly entertaining","Unimportant and trivial",1,6
